ACCOUNT_ID,CUSTOMER_ID,BRANCH_ID,OPENING_BALANCE,ACCOUNT_OPEN_DATE,ACCOUNT_TYPE,ACCOUNT_STATUS
A00001,,b00019,520482,null,,Pending
a00002,c00002,b00038,268824,2018-09-24,,active
,C00003,,589218,2021-03-24,Savings,ACTIVE
a00004,,b00021,202917,2017-11-15,Checking,CLOSED
,c00005,b00049,426326,2015-11-28,SAVINGS,Closed
,C00006,b00010,908163,2020-09-03,Fixed Deposit,Active
A00007,C00007,B00001,316236,2018-11-28,savings,ACTIVE
A00008,C00008,B00008,580292,2020-07-17,Fixed Deposit,Pending
a00009,C00009,,796905,2016-06-10,fixed deposit,
,c00010,b00028,548251,2016-11-12,CHECKING,ACTIVE
a00011,C00011,B00038,151556,2014-08-24,Fixed Deposit,Pending
a00012,c00012,b00005,346915,2019-10-27,Fixed Deposit,ACTIVE
A00013,c00013,B00040,514817,2022-10-25,Savings,Closed
,,b00045,209619,2017-12-17,CHECKING,Closed
A00015,C00015,B00020,449096,2018-05-22,CHECKING,ACTIVE
A00016,C00016,B00002,109965,2022-05-06,SAVINGS,active
A00017,C00017,b00012,980234,2015-05-01,FIXED DEPOSIT,CLOSED
a00018,c00018,,9555,null,savings,Pending
A00019,C00019,B00026,280956,2023-05-21,savings,PENDING
A00020,,,431701,2017-09-16,Fixed Deposit,closed
a00021,c00021,B00050,291275,2015-06-30,SAVINGS,active
A00022,C00022,b00036,715192,2018-12-07,Checking,PENDING
A00023,c00023,B00007,445213,2020-11-06,Fixed Deposit,
A00024,C00024,B00037,80929,2015-02-02,savings,pending
a00025,C00025,,115300,2021-11-19,,closed
A00026,C00026,b00008,544120,2017-10-31,FIXED DEPOSIT,CLOSED
,c00027,B00002,682344,2021-03-26,fixed deposit,Pending
A00028,c00028,b00024,null,2014-08-30,SAVINGS,pending
a00029,C00029,B00044,158241,2016-04-25,Fixed Deposit,Closed
,C00030,B00042,483914,null,checking,Closed
A00031,C00031,B00021,581636,2015-09-30,Checking,pending
,C00032,B00029,844500,2022-12-30,checking,
,C00033,b00024,241118,2017-04-08,fixed deposit,closed
A00034,c00034,b00039,763411,null,checking,Closed
A00035,C00035,b00017,113477,2020-03-12,CHECKING,active
,C00036,B00050,392673,2022-01-03,fixed deposit,
a00037,C00037,B00044,164673,2019-06-14,Fixed Deposit,
A00038,C00038,B00020,848499,null,Fixed Deposit,active
A00039,c00039,B00014,294384,2017-07-05,Savings,Pending
A00040,C00040,B00027,938979,2018-12-11,Savings,Active
a00041,C00041,b00010,390401,2023-02-22,Checking,CLOSED
,C00042,B00031,101696,2014-12-11,Savings,PENDING
,,,813986,2015-06-08,FIXED DEPOSIT,CLOSED
A00044,C00044,b00034,760924,2017-10-10,checking,
A00045,C00045,B00031,81828,2020-03-15,CHECKING,pending
a00046,,b00028,144895,2015-03-06,checking,PENDING
A00047,C00047,b00040,191792,2019-01-09,FIXED DEPOSIT,PENDING
A00048,C00048,B00028,404485,2020-01-20,CHECKING,ACTIVE
a00049,C00049,B00014,null,null,FIXED DEPOSIT,
a00050,c00050,B00030,826948,2014-07-22,SAVINGS,Closed
a00051,C00051,B00039,null,2013-11-02,Checking,closed
A00052,C00052,B00049,593119,2021-02-25,SAVINGS,pending
A00053,C00053,,931366,2017-05-12,,pending
a00054,c00054,B00043,498802,2023-04-16,savings,closed
a00055,C00055,b00016,91922,2023-04-22,fixed deposit,
,c00056,,70339,2019-09-13,Fixed Deposit,Pending
A00057,,b00011,752521,2020-11-02,Checking,ACTIVE
a00058,c00058,B00007,366794,2019-05-17,savings,Closed
A00059,C00059,b00009,49601,2020-01-03,CHECKING,Closed
A00060,c00060,B00011,516505,2023-08-19,Fixed Deposit,active
a00061,,b00023,479249,2020-06-15,fixed deposit,closed
A00062,c00062,B00016,415804,2021-09-30,fixed deposit,closed
a00063,,b00034,516710,2022-08-02,checking,Pending
A00064,c00064,b00031,315703,2016-09-22,checking,PENDING
a00065,C00065,B00016,933345,2015-02-13,checking,active
A00066,C00066,b00013,220777,2020-12-10,savings,CLOSED
A00067,,b00006,null,2021-01-18,Checking,CLOSED
a00068,,b00004,785995,2022-02-22,FIXED DEPOSIT,
a00069,c00069,B00041,124492,2014-08-14,CHECKING,active
A00070,c00070,B00045,null,2023-05-29,Checking,PENDING
A00071,C00071,B00027,null,2020-06-21,FIXED DEPOSIT,
A00072,c00072,B00034,637720,2019-10-02,fixed deposit,PENDING
A00073,C00073,,null,2018-03-31,fixed deposit,Active
A00074,C00074,B00040,387722,2017-11-09,Fixed Deposit,Pending
a00075,C00075,,203850,2016-09-26,Savings,Pending
A00076,c00076,B00040,768404,2016-01-29,Fixed Deposit,Closed
A00077,C00077,B00015,956096,2019-02-26,FIXED DEPOSIT,
A00078,C00078,b00029,null,2020-07-17,SAVINGS,Pending
A00079,C00079,b00034,647903,2017-05-28,SAVINGS,pending
A00080,C00080,B00009,679126,2019-07-18,Checking,Pending
a00081,c00081,B00029,994991,2019-12-03,Savings,active
A00082,C00082,b00035,492186,2016-02-17,,pending
A00083,,B00034,282157,2018-03-26,SAVINGS,Closed
A00084,c00084,B00014,655754,2019-10-28,SAVINGS,
A00085,c00085,b00021,837481,2014-05-01,checking,Closed
A00086,C00086,B00036,932046,2014-12-02,savings,ACTIVE
a00087,C00087,B00006,443491,2019-03-03,savings,Closed
A00088,c00088,B00042,960226,2019-02-04,,Active
a00089,c00089,B00014,371570,2016-07-25,Checking,ACTIVE
a00090,C00090,B00022,153655,2022-12-21,FIXED DEPOSIT,active
a00091,C00091,B00021,213052,2017-08-11,Savings,PENDING
A00092,c00092,B00005,171207,2017-02-02,SAVINGS,pending
A00093,C00093,B00003,438099,null,,
A00094,C00094,B00005,103607,2018-09-14,FIXED DEPOSIT,
,c00095,B00010,872758,2019-06-21,CHECKING,active
,C00096,B00011,799428,2014-10-03,Savings,ACTIVE
a00097,c00097,b00018,466371,2016-12-21,FIXED DEPOSIT,ACTIVE
A00098,C00098,B00041,147299,2016-01-13,SAVINGS,ACTIVE
a00099,C00099,B00041,618928,null,Checking,Pending
,C00100,B00001,893347,2021-01-06,checking,ACTIVE
A00101,c00101,b00026,null,2017-01-12,CHECKING,active
A00102,c00102,B00015,875477,2021-04-09,Savings,Pending
A00103,C00103,b00044,463838,null,checking,pending
a00104,C00104,b00012,313146,2015-01-27,fixed deposit,
,C00105,b00016,526586,2016-11-05,Fixed Deposit,Closed
A00106,c00106,B00042,null,2020-07-27,,closed
a00107,C00107,B00001,291653,2017-10-05,savings,pending
A00108,,B00039,554098,2023-08-23,Checking,Closed
A00109,C00109,,753593,2017-09-26,checking,pending
A00110,C00110,B00050,34274,2022-10-18,fixed deposit,PENDING
A00111,C00111,B00006,495976,2014-05-13,Savings,
a00112,c00112,B00011,416462,2015-11-19,Fixed Deposit,PENDING
a00113,C00113,B00029,770946,2022-01-17,Checking,closed
a00114,c00114,B00014,852435,2019-06-26,checking,Closed
A00115,C00115,B00008,154134,2019-09-02,CHECKING,active
A00116,C00116,B00022,514112,2016-09-05,FIXED DEPOSIT,CLOSED
A00117,,B00018,351561,2018-05-07,SAVINGS,
,C00118,B00006,328927,2020-10-13,checking,Active
A00119,c00119,B00012,976353,2019-08-20,savings,pending
A00120,c00120,B00001,null,2018-02-22,fixed deposit,closed
A00121,c00121,b00041,95547,2017-02-09,,Closed
,c00122,b00021,323840,null,checking,closed
,c00123,B00028,319971,2020-06-23,SAVINGS,CLOSED
A00124,c00124,b00042,102064,2022-07-02,Checking,Closed
A00125,c00125,,461197,2019-07-18,FIXED DEPOSIT,Active
a00126,c00126,B00021,900462,2023-02-07,savings,PENDING
a00127,C00127,b00018,15103,2016-12-04,Checking,pending
a00128,C00128,B00022,216947,2016-11-16,FIXED DEPOSIT,
A00129,c00129,B00035,828026,2017-04-13,,CLOSED
,c00130,B00047,775498,2016-05-19,savings,Active
A00131,C00131,B00038,813369,2017-07-11,SAVINGS,closed
a00132,c00132,b00021,9787,2023-07-15,Checking,closed
A00133,C00133,b00028,570802,null,fixed deposit,
A00134,C00134,,56978,2022-12-18,Checking,Active
A00135,c00135,B00024,530344,null,fixed deposit,Closed
a00136,C00136,B00005,35391,2021-08-07,checking,closed
A00137,C00137,B00008,966519,2017-12-10,Savings,Closed
a00138,,B00002,661272,2023-07-07,FIXED DEPOSIT,active
A00139,c00139,B00007,659335,2020-08-02,Fixed Deposit,
A00140,C00140,b00023,337156,2020-01-28,FIXED DEPOSIT,
a00141,c00141,B00048,530202,null,Savings,Pending
,C00142,B00010,71869,2022-06-12,fixed deposit,PENDING
A00143,C00143,B00034,464791,2019-06-14,Savings,ACTIVE
a00144,C00144,B00006,null,2015-04-05,Checking,PENDING
A00145,c00145,b00016,58571,2018-07-05,FIXED DEPOSIT,
A00146,c00146,b00048,312065,2016-01-09,fixed deposit,closed
,C00147,b00012,568672,2016-08-25,savings,closed
A00148,c00148,B00010,433212,2019-05-24,FIXED DEPOSIT,Closed
,C00149,,8446,2014-04-27,Savings,
,C00150,b00023,293553,2017-04-30,checking,active
a00151,C00151,B00038,675178,2022-10-08,savings,ACTIVE
,C00152,B00040,656860,2019-10-26,Checking,pending
,,B00032,857075,null,CHECKING,closed
a00154,c00154,b00015,562999,2021-07-22,CHECKING,Pending
A00155,c00155,B00047,null,2014-10-10,Checking,Closed
a00156,C00156,B00021,266689,2018-07-19,checking,PENDING
a00157,c00157,B00014,262643,2018-03-24,Fixed Deposit,
A00158,C00158,B00037,196457,2015-10-13,Savings,CLOSED
A00159,C00159,b00018,145143,2016-07-10,savings,PENDING
a00160,C00160,b00035,329074,2020-03-14,Fixed Deposit,ACTIVE
A00161,c00161,b00049,104184,2020-05-02,,active
,c00162,B00048,588831,2017-02-11,fixed deposit,active
a00163,C00163,B00048,972664,2017-01-06,fixed deposit,Pending
A00164,C00164,b00011,657761,2020-06-21,,ACTIVE
a00165,C00165,B00002,952997,null,FIXED DEPOSIT,
a00166,C00166,b00010,640449,2022-06-06,FIXED DEPOSIT,PENDING
a00167,c00167,B00043,668664,2017-05-14,fixed deposit,Active
A00168,C00168,B00027,942698,2017-01-03,FIXED DEPOSIT,ACTIVE
A00169,C00169,B00016,949502,2017-11-10,checking,active
,,B00031,230532,2014-12-05,Savings,CLOSED
A00171,C00171,B00024,842603,2018-01-08,savings,Pending
a00172,C00172,B00009,737539,2020-09-05,Fixed Deposit,PENDING
A00173,C00173,B00040,11207,2019-03-16,checking,CLOSED
a00174,c00174,b00025,911447,2022-08-30,FIXED DEPOSIT,
a00175,C00175,b00012,792562,2023-08-23,savings,Closed
A00176,C00176,b00003,null,null,,Closed
A00177,C00177,B00028,443687,2015-01-29,SAVINGS,ACTIVE
A00178,c00178,B00028,679247,2016-01-18,SAVINGS,
A00179,C00179,b00007,698003,2023-05-23,SAVINGS,Closed
a00180,c00180,b00032,19304,2021-02-06,Savings,closed
a00181,C00181,B00034,955732,2021-09-29,CHECKING,PENDING
A00182,c00182,b00039,21952,2015-03-14,,Active
A00183,C00183,b00045,null,2020-11-15,checking,Active
A00184,C00184,B00019,268467,2023-01-06,fixed deposit,Active
a00185,C00185,B00044,554294,2017-08-31,Fixed Deposit,Pending
A00186,c00186,B00039,null,2016-06-11,,active
A00187,c00187,B00017,457549,2022-07-02,checking,PENDING
A00188,C00188,B00010,156176,2017-01-29,savings,PENDING
A00189,C00189,b00007,null,2023-03-18,fixed deposit,pending
a00190,C00190,B00036,787488,2014-10-07,checking,CLOSED
a00191,C00191,b00013,null,2018-01-14,,PENDING
a00192,C00192,b00006,null,2019-09-19,fixed deposit,Active
A00193,c00193,b00012,721200,2021-04-28,Checking,PENDING
,C00194,b00029,580036,2023-06-24,,
A00195,C00195,b00002,631265,null,,Closed
a00196,C00196,B00044,278755,2015-11-13,FIXED DEPOSIT,Active
A00197,C00197,B00040,14874,2014-11-24,Checking,PENDING
A00198,C00198,b00044,195640,2020-04-25,FIXED DEPOSIT,closed
A00199,c00199,b00011,401710,2022-03-20,CHECKING,PENDING
A00200,C00200,B00018,400413,2016-03-02,FIXED DEPOSIT,active
a00201,C00201,b00048,null,2015-04-26,fixed deposit,
a00202,C00202,B00043,166122,2019-05-15,,closed
a00203,C00203,b00033,362191,2018-07-11,Savings,PENDING
a00204,c00204,b00022,405348,null,savings,PENDING
a00205,C00205,B00026,86815,2019-01-14,savings,closed
a00206,C00206,,454874,2015-09-30,Checking,closed
A00207,c00207,B00044,116396,2013-12-29,Checking,closed
A00208,c00208,,645931,2019-06-26,CHECKING,CLOSED
A00209,C00209,,325165,2021-02-01,Fixed Deposit,Pending
A00210,C00210,B00013,326713,2021-08-07,savings,
A00211,C00211,b00042,51077,2017-08-21,Savings,
A00212,C00212,B00020,479626,2017-02-07,CHECKING,active
A00213,C00213,,586371,2015-04-12,SAVINGS,Pending
a00214,c00214,b00028,71011,2018-04-15,Savings,CLOSED
a00215,c00215,B00036,687086,2022-05-29,fixed deposit,PENDING
A00216,c00216,B00022,24556,2019-08-09,Checking,closed
a00217,C00217,B00014,242929,2019-09-28,savings,active
A00218,c00218,B00017,41859,2023-02-27,CHECKING,closed
A00219,c00219,B00017,467499,2022-03-27,Fixed Deposit,pending
A00220,c00220,b00030,339159,2020-05-20,FIXED DEPOSIT,PENDING
A00221,c00221,B00028,78117,2016-04-06,checking,Pending
a00222,,B00029,984110,2022-02-26,FIXED DEPOSIT,active
A00223,c00223,B00020,243489,2023-07-29,Checking,pending
A00224,c00224,,188865,2019-06-04,Checking,
a00225,C00225,B00029,678696,2021-09-11,SAVINGS,pending
A00226,C00226,B00046,805528,2013-12-13,Fixed Deposit,ACTIVE
A00227,C00227,B00046,858269,2021-03-07,Checking,Closed
a00228,c00228,b00010,415783,2020-07-16,Checking,active
A00229,c00229,B00003,109033,2020-08-07,Checking,closed
A00230,C00230,B00035,245883,2018-01-25,SAVINGS,Pending
a00231,c00231,B00023,71326,2022-06-30,checking,Pending
A00232,C00232,B00006,234764,2019-01-02,Checking,PENDING
a00233,c00233,b00034,848683,2020-10-08,SAVINGS,Pending
A00234,C00234,B00024,669364,2018-06-22,CHECKING,CLOSED
A00235,C00235,B00011,null,2014-02-28,,
a00236,C00236,B00012,499031,2014-11-25,Savings,Active
A00237,C00237,B00023,106588,2016-09-14,FIXED DEPOSIT,ACTIVE
A00238,C00238,,416796,2018-03-11,fixed deposit,active
a00239,C00239,B00005,852699,2023-06-02,,CLOSED
A00240,C00240,b00037,598670,2015-11-09,Savings,Closed
A00241,C00241,b00038,526869,2015-11-03,fixed deposit,closed
a00242,C00242,B00014,661204,2014-05-10,Savings,PENDING
a00243,C00243,B00022,362071,2015-10-25,CHECKING,Active
a00244,C00244,B00001,152591,2015-10-11,FIXED DEPOSIT,PENDING
a00245,C00245,b00044,897929,2019-10-21,fixed deposit,pending
a00246,,B00039,121559,2016-04-03,CHECKING,PENDING
a00247,C00247,B00035,192287,null,savings,CLOSED
A00248,c00248,B00040,269573,2023-03-14,FIXED DEPOSIT,ACTIVE
A00249,c00249,B00009,158901,2015-03-22,CHECKING,ACTIVE
a00250,C00250,b00046,340864,2022-11-19,Savings,pending
A00251,c00251,B00021,738035,2015-07-04,Fixed Deposit,CLOSED
,c00252,B00040,859750,2023-07-23,Checking,Active
,c00253,B00023,891944,2023-08-15,Fixed Deposit,ACTIVE
a00254,c00254,B00021,97444,2019-05-09,fixed deposit,Pending
a00255,c00255,,566682,2017-08-02,checking,Closed
A00256,c00256,B00036,637673,2020-11-03,Fixed Deposit,Closed
A00257,,B00020,807162,2016-02-17,SAVINGS,closed
a00258,c00258,B00043,355718,2020-03-14,Savings,active
a00259,C00259,B00005,900209,2015-04-25,,PENDING
,C00260,B00011,809463,2020-07-06,FIXED DEPOSIT,Active
a00261,C00261,B00023,156624,2016-05-28,SAVINGS,PENDING
A00262,,B00009,null,2016-06-10,,
A00263,c00263,,682823,2018-01-13,Checking,closed
A00264,,B00050,81593,2015-05-24,Savings,Active
A00265,c00265,B00026,null,2016-10-14,fixed deposit,
,c00266,B00050,null,2023-04-28,Savings,Closed
a00267,c00267,b00039,822941,null,SAVINGS,pending
A00268,C00268,B00024,394092,null,,CLOSED
,C00269,B00036,653933,2016-01-29,Checking,closed
A00270,,B00039,835366,2018-06-23,CHECKING,Pending
A00271,C00271,B00030,417525,2021-07-24,fixed deposit,
a00272,C00272,b00019,648970,null,Fixed Deposit,Active
A00273,C00273,B00049,26323,2016-03-18,Checking,pending
a00274,C00274,B00046,null,2020-01-16,,CLOSED
A00275,C00275,b00035,365305,2017-11-18,Checking,pending
a00276,C00276,,974692,null,CHECKING,pending
A00277,c00277,B00022,885758,2018-10-21,Savings,Closed
A00278,c00278,b00045,994503,2019-05-30,checking,closed
a00279,C00279,B00014,418305,2020-05-09,fixed deposit,CLOSED
A00280,c00280,B00036,524522,2016-09-22,CHECKING,Pending
a00281,c00281,b00033,473633,2022-07-12,Checking,closed
A00282,c00282,B00021,612499,2023-06-30,fixed deposit,PENDING
a00283,C00283,B00005,330462,2014-02-24,checking,CLOSED
A00284,C00284,b00037,141538,2016-11-04,FIXED DEPOSIT,Active
a00285,,B00026,null,2016-12-07,fixed deposit,closed
a00286,C00286,,872833,2016-09-07,checking,PENDING
A00287,,B00001,58477,null,SAVINGS,pending
