ACCOUNT_ID,TRANSACTION_ID,TRANSACTION_DATE,TRANSACTION_MEDIA,TRANSACTION_TYPE,TRANSACTION_AMOUNT,_silver_loaded_at
A00007,T04161,2023-01-11,Unknown,Transfer,10846,2026-04-17T08:27:31.745Z
A00012,T04925,2017-04-27,Debit_Card,Unknown,90476,2026-04-17T08:27:31.745Z
A00044,T04595,2020-10-24,Cash,Transfer,25790,2026-04-17T08:27:31.745Z
A00111,T04216,2018-05-24,Credit_Card,Transfer,23755,2026-04-17T08:27:31.745Z
A00112,T04975,1900-01-01,Check,Transfer,85050,2026-04-17T08:27:31.745Z
A00114,T03573,2016-07-23,Credit_Card,Withdrawal,54745,2026-04-17T08:27:31.745Z
A00175,T03131,2023-03-05,Cash,Deposit,79641,2026-04-17T08:27:31.745Z
A00176,T04186,2020-04-30,Debit_Card,Purchase,16369,2026-04-17T08:27:31.745Z
A00189,T04921,2019-09-29,Debit_Card,Transfer,54497,2026-04-17T08:27:31.745Z
A00202,T04609,2023-08-22,Check,Deposit,39698,2026-04-17T08:27:31.745Z
A00217,T04799,2021-06-06,Debit_Card,Transfer,2509,2026-04-17T08:27:31.745Z
A00218,T04582,2023-03-03,Check,Withdrawal,52839,2026-04-17T08:27:31.745Z
A00221,T04462,2017-08-22,Debit_Card,Purchase,77448,2026-04-17T08:27:31.745Z
A00228,T03759,2019-04-17,Credit_Card,Transfer,22873,2026-04-17T08:27:31.745Z
A00235,T02540,1900-01-01,Cash,Transfer,13806,2026-04-17T08:27:31.745Z
A00240,T04906,2023-04-19,Cash,Withdrawal,56226,2026-04-17T08:27:31.745Z
A00243,T02556,2021-10-21,Debit_Card,Withdrawal,49713,2026-04-17T08:27:31.745Z
A00307,T04043,2015-12-11,Debit_Card,Unknown,96166,2026-04-17T08:27:31.745Z
A00350,T04251,2019-12-22,Cash,Deposit,39581,2026-04-17T08:27:31.745Z
A00357,T04038,2020-01-09,Debit_Card,Deposit,57555,2026-04-17T08:27:31.745Z
A00360,T04541,2019-07-13,Check,Unknown,70887,2026-04-17T08:27:31.745Z
A00373,T04933,2018-10-05,Credit_Card,Withdrawal,5836,2026-04-17T08:27:31.745Z
A00374,T04392,2019-04-16,Cash,Unknown,38143,2026-04-17T08:27:31.745Z
A00389,T04537,2023-07-31,Cash,Deposit,95886,2026-04-17T08:27:31.745Z
A00392,T04667,2019-02-05,Check,Purchase,92403,2026-04-17T08:27:31.745Z
A00438,T02831,2017-04-18,Credit_Card,Deposit,42990,2026-04-17T08:27:31.745Z
A00469,T03197,2023-01-08,Unknown,Deposit,78891,2026-04-17T08:27:31.745Z
A00503,T04643,2021-11-04,Cash,Transfer,20542,2026-04-17T08:27:31.745Z
A00509,T03843,2015-03-02,Debit_Card,Withdrawal,46040,2026-04-17T08:27:31.745Z
A00521,T04798,2019-10-25,Credit_Card,Withdrawal,47297,2026-04-17T08:27:31.745Z
A00554,T04296,2022-06-14,Check,Withdrawal,46427,2026-04-17T08:27:31.745Z
A00563,T04333,2021-06-06,Unknown,Transfer,82988,2026-04-17T08:27:31.745Z
A00581,T04302,2015-01-08,Check,Deposit,60347,2026-04-17T08:27:31.745Z
A00592,T04574,2017-10-06,Check,Transfer,96980,2026-04-17T08:27:31.745Z
A00608,T03987,1900-01-01,Debit_Card,Withdrawal,72970,2026-04-17T08:27:31.745Z
A00660,T04366,2017-06-10,Check,Purchase,25358,2026-04-17T08:27:31.745Z
A00677,T02504,2023-03-01,Cash,Purchase,42005,2026-04-17T08:27:31.745Z
A00708,T04172,2018-02-13,Unknown,Withdrawal,83484,2026-04-17T08:27:31.745Z
A00718,T04959,2023-08-23,Cash,Deposit,47505,2026-04-17T08:27:31.745Z
A00761,T03720,2019-10-18,Debit_Card,Transfer,26006,2026-04-17T08:27:31.745Z
